symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,State,Date first added,CIK,Founded,id,class,exchange,name,status,tradable,marginable,shortable,easy_to_borrow,fractionable
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,New York, New York,5/31/1984,4447,1919,945cfc7c-88e3-4db8-9f17-a4889b038cc5,us_equity,NYSE,Hess Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,Atlanta, Georgia,4/30/1984,822416,1956,96f6e02d-e110-40c7-bff6-ade1c0e451c4,us_equity,NYSE,"Pultegroup, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,New York, New York,11/30/1983,732712,1983 (1877),a54066ec-ebb0-4d1e-b7cf-cd84298515ec,us_equity,NYSE,Verizon Communications,active,TRUE,TRUE,TRUE,TRUE,TRUE
AIG,American International Group,reports,Financials,Property & Casualty Insurance,New York, New York,3/31/1980,5272,1919,1ca76fea-6487-4cde-a341-07517b3286a0,us_equity,NYSE,"American International Group, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
WFC,Wells Fargo,reports,Financials,Diversified Banks,San Francisco, California,6/30/1976,72971,1852,f9700a20-b0fe-4516-87c5-9d7b096d5539,us_equity,NYSE,Wells Fargo & Co.,active,TRUE,TRUE,TRUE,TRUE,TRUE
AXP,American Express,reports,Financials,Consumer Finance,New York, New York,6/30/1976,4962,1850,49b90cdc-f6f5-4a7c-807a-ed172e6017af,us_equity,NYSE,American Express Company,active,TRUE,TRUE,TRUE,TRUE,TRUE
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,New York, New York,3/31/1976,51253,1958 (1889),c6c4b6a0-fd62-44b4-8e16-4dd9b31b71ba,us_equity,NYSE,International Flavors & Fragrances Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,New York, New York,6/30/1975,19617,2000 (1799 / 1871),e3047683-637a-4fb2-b71d-805cd6fec95d,us_equity,NYSE,JPMorgan Chase & Co.,active,TRUE,TRUE,TRUE,TRUE,TRUE
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,Atlanta, Georgia,12/31/1973,40987,1925,5ae07a68-48de-4b8e-8105-e50c47689464,us_equity,NYSE,Genuine Parts Company,active,TRUE,TRUE,TRUE,TRUE,TRUE
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,New York, New York,3/4/1957,14272,1989,ad22d1ca-8bfc-45cc-ae7f-5f091bbc8c7c,us_equity,NYSE,Bristol-Myers Squibb Co.,active,TRUE,TRUE,TRUE,TRUE,TRUE
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,New York, New York,3/4/1957,21665,1806,a7dd2d26-59d5-4c85-8449-cd0cb975fd98,us_equity,NYSE,Colgate-Palmolive Company,active,TRUE,TRUE,TRUE,TRUE,TRUE
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,New York, New York,3/4/1957,78003,1849,b0940983-b0c6-42f1-97d5-b1b580e4431b,us_equity,NYSE,Pfizer Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,Atlanta, Georgia,3/4/1957,21344,1886,3795cafe-fd54-4f66-a31e-66774be875ca,us_equity,NYSE,Coca-Cola Company,active,TRUE,TRUE,TRUE,TRUE,TRUE
SO,Southern Company,reports,Utilities,Electric Utilities,Atlanta, Georgia,3/4/1957,92122,1945,5a71649b-e578-4229-81a3-d3a5c1351dd7,us_equity,NYSE,The Southern Company,active,TRUE,TRUE,TRUE,TRUE,TRUE
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,New Orleans, Louisiana,3/4/1957,65984,1913,c4bcff4e-c3b0-481a-a9eb-98600db2ef0a,us_equity,NYSE,Entergy Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
KIM,Kimco Realty,reports,Real Estate,Retail REITs,New Hyde Park, New York,4/4/2006,879101,1958,c70c1de6-d9cd-4c77-9f72-fd8e6d889c0f,us_equity,NYSE,Kimco Realty Corp.,active,TRUE,TRUE,TRUE,TRUE,TRUE
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,New Brunswick, New Jersey,6/30/1973,200406,1886,ef9adcc6-6bce-452b-af5f-4a87e7f19131,us_equity,NYSE,Johnson & Johnson,active,TRUE,TRUE,TRUE,TRUE,TRUE
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,New Britain, Connecticut,9/30/1982,93556,1843,de80af50-a26c-4a70-b1cb-3b4784d7cdde,us_equity,NYSE,"Stanley Black & Decker, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,Nashville, Tennessee,1/27/2015,860730,1968,f99ee8af-9d78-4b46-9f2c-3cf6ce839ccf,us_equity,NYSE,"HCA Healthcare, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,Mountain View, California,4/3/2014,1652044,1998,69b15845-7c63-4586-b274-1cfdfe9df3d8,us_equity,NASDAQ,Alphabet Inc. Class A Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,Mountain View, California,4/3/2006,1652044,1998,f30d734c-2806-4d0d-b145-f9fade61432b,us_equity,NASDAQ,Alphabet Inc. Class C Capital Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
INTU,Intuit Inc.,reports,Information Technology,Application Software,Mountain View, California,12/5/2000,896878,1983,cd1347d7-8add-49bd-acd1-4ffde9a4081b,us_equity,NASDAQ,Intuit Inc. Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,Mountain View, California,3/16/2017,883241,1986,fa8500c0-9022-4a74-97f9-93d41ed28dac,us_equity,NASDAQ,"Synopsys, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
